Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 620       , 967       , 1        , 0.057                    
 292       , 863       , 1        , 0.232                    
 740       , 517       , 1        , 0.027                    
 740       , 332       , 4        , 0.020999999999999998     
 90        , 260       , 10       , 0.006                    
 309       , 847       , 1        , 0.015000000000000001     
 123       , 83        , 1        , 0.005                    
 495       , 488       , 1        , 0.024                    
 137       , 172       , 1        , 0.007                    
 19        , 927       , 1        , 0.002                    
 136       , 43        , 1        , 0.003                    
 356       , 552       , 4        , 0.017                    
 822       , 277       , 1        , 0.013                    
 849       , 36        , 3        , 0.002                    
 613       , 298       , 1        , 0.014                    
 944       , 829       , 1        , 0.043000000000000003     
 208       , 639       , 1        , 0.011                    
 139       , 652       , 1        , 0.007                    
 563       , 617       , 1        , 0.027                    
 324       , 636       , 12       , 0.015000000000000001     
 531       , 837       , 9        , 0.025                    
 205       , 543       , 1        , 0.009000000000000001     
 825       , 374       , 11       , 0.019                    
 439       , 445       , 1        , 0.029                    
 262       , 133       , 1        , 0.007                    
 427       , 265       , 1        , 0.013                    
 540       , 999       , 27       , 0.026                    
 403       , 477       , 1        , 0.019                    
 638       , 460       , 2        , 0.022                    
 634       , 557       , 1        , 0.027                    
 798       , 133       , 133      , 0.001                    
 547       , 297       , 1        , 0.013                    
 436       , 936       , 4        , 0.020999999999999998     
 106       , 207       , 1        , 0.006                    
 404       , 454       , 2        , 0.02                     
 603       , 30        , 3        , 0.002                    
 411       , 347       , 1        , 0.016                    
 764       , 544       , 4        , 0.026                    
 703       , 297       , 1        , 0.014                    
 602       , 151       , 1        , 0.008                    
 693       , 418       , 11       , 0.02                     
 761       , 826       , 1        , 0.037                    
 26        , 377       , 13       , 0.002                    
 316       , 992       , 4        , 0.015000000000000001     
 813       , 584       , 1        , 0.028                    
 109       , 309       , 1        , 0.005                    
 253       , 107       , 1        , 0.005                    
 752       , 951       , 1        , 0.036000000000000004     
 326       , 528       , 2        , 0.015000000000000001     
 716       , 531       , 1        , 0.025                    
 169       , 10        , 1        , 0.001                    
 334       , 987       , 1        , 0.015000000000000001     
 306       , 207       , 9        , 0.01                     
 526       , 584       , 2        , 0.025                    
 692       , 624       , 4        , 0.029                    
 603       , 758       , 1        , 0.041999999999999996     
 523       , 49        , 1        , 0.003                    
 196       , 748       , 4        , 0.009000000000000001     
 407       , 429       , 11       , 0.019                    
 642       , 519       , 3        , 0.025                    
 931       , 885       , 1        , 0.044                    
 231       , 519       , 3        , 0.011                    
 351       , 789       , 3        , 0.017                    
 798       , 975       , 3        , 0.039                    
 771       , 253       , 1        , 0.012                    
 742       , 963       , 1        , 0.034999999999999996     
 958       , 972       , 2        , 0.047                    
 219       , 749       , 1        , 0.01                     
 398       , 6         , 2        , 0.001                    
 100       , 155       , 5        , 0.005                    
 434       , 693       , 7        , 0.02                     
 965       , 702       , 1        , 0.034999999999999996     
 293       , 703       , 1        , 0.013                    
 845       , 649       , 1        , 0.031                    
 566       , 517       , 1        , 0.024                    
 314       , 740       , 2        , 0.015000000000000001     
 32        , 178       , 2        , 0.003                    
 508       , 950       , 2        , 0.025                    
 925       , 940       , 5        , 0.045000000000000005     
 695       , 173       , 1        , 0.008                    
 572       , 391       , 1        , 0.019                    
