Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 345       , 91        , 1        , 0.009000000000000001     
 997       , 33        , 1        , 0.004                    
 345       , 743       , 1        , 0.028                    
 959       , 61        , 1        , 0.006                    
 683       , 991       , 1        , 0.058                    
 934       , 278       , 2        , 0.022                    
 642       , 656       , 2        , 0.056                    
 827       , 168       , 1        , 0.014                    
 812       , 453       , 1        , 0.039                    
 664       , 168       , 8        , 0.015000000000000001     
 157       , 127       , 1        , 0.011                    
 329       , 521       , 1        , 0.027                    
 774       , 342       , 18       , 0.029                    
 588       , 543       , 3        , 0.047                    
 483       , 828       , 69       , 0.041999999999999996     
 921       , 624       , 3        , 0.054                    
 986       , 760       , 2        , 0.066                    
 807       , 776       , 1        , 0.158                    
 43        , 881       , 1        , 0.007                    
 469       , 64        , 1        , 0.007                    
 159       , 566       , 1        , 0.046                    
 500       , 116       , 4        , 0.012                    
 804       , 260       , 4        , 0.047                    
 325       , 318       , 1        , 0.041                    
 769       , 509       , 1        , 0.081                    
 23        , 648       , 1        , 0.005                    
 133       , 339       , 1        , 0.013                    
 17        , 232       , 1        , 0.004                    
 1         , 175       , 1        , 0.003                    
 459       , 196       , 1        , 0.017                    
 319       , 399       , 1        , 0.027                    
 87        , 458       , 1        , 0.01                     
 503       , 95        , 1        , 0.009000000000000001     
 294       , 614       , 2        , 0.027                    
 140       , 150       , 10       , 0.048                    
 337       , 338       , 1        , 0.029                    
 46        , 422       , 2        , 0.006                    
 515       , 174       , 1        , 0.014                    
 449       , 392       , 1        , 0.032                    
 747       , 111       , 3        , 0.01                     
 55        , 773       , 1        , 0.006                    
 837       , 772       , 1        , 0.064                    
 772       , 636       , 4        , 0.054                    
 939       , 444       , 3        , 0.036000000000000004     
 395       , 377       , 1        , 0.031                    
 3         , 751       , 1        , 0.002                    
 652       , 6         , 2        , 0.002                    
 473       , 187       , 11       , 0.013                    
 829       , 255       , 1        , 0.019                    
 225       , 119       , 1        , 0.011                    
 702       , 486       , 54       , 0.039                    
 954       , 857       , 1        , 0.06999999999999999      
 867       , 110       , 1        , 0.009000000000000001     
 123       , 169       , 1        , 0.011                    
 539       , 367       , 1        , 0.030000000000000002     
 842       , 138       , 2        , 0.012                    
 328       , 71        , 1        , 0.007                    
 291       , 571       , 1        , 0.023                    
 475       , 151       , 1        , 0.017                    
 717       , 351       , 3        , 0.029                    
 559       , 196       , 1        , 0.017                    
 994       , 748       , 2        , 0.066                    
 715       , 862       , 1        , 0.060000000000000005     
 419       , 257       , 1        , 0.020999999999999998     
 664       , 501       , 1        , 0.041999999999999996     
 26        , 687       , 1        , 0.005                    
 193       , 832       , 1        , 0.016                    
 174       , 910       , 2        , 0.016                    
 435       , 437       , 1        , 0.038                    
 402       , 641       , 1        , 0.034999999999999996     
 808       , 88        , 8        , 0.009000000000000001     
 125       , 188       , 1        , 0.011                    
 274       , 4         , 2        , 0.002                    
 399       , 465       , 3        , 0.033                    
 382       , 55        , 1        , 0.005                    
 622       , 83        , 1        , 0.007                    
 914       , 907       , 1        , 0.076                    
 316       , 680       , 4        , 0.029                    
 901       , 608       , 1        , 0.053                    
 371       , 280       , 7        , 0.023                    
 207       , 102       , 3        , 0.014                    
 450       , 741       , 3        , 0.039                    
 406       , 149       , 1        , 0.013                    
 100       , 517       , 1        , 0.01                     
 812       , 744       , 4        , 0.083                    
 216       , 35        , 1        , 0.006                    
 11        , 467       , 1        , 0.002                    
 736       , 143       , 1        , 0.014                    
 266       , 857       , 1        , 0.020999999999999998     
 870       , 566       , 2        , 0.048                    
 495       , 929       , 1        , 0.038                    
 177       , 337       , 1        , 0.013                    
 672       , 942       , 6        , 0.061                    
 764       , 302       , 2        , 0.026                    
 697       , 635       , 1        , 0.075                    
 986       , 241       , 1        , 0.020999999999999998     
 11        , 145       , 1        , 0.003                    
 733       , 247       , 1        , 0.02                     
 836       , 586       , 2        , 0.052                    
 138       , 944       , 2        , 0.013                    
 580       , 632       , 4        , 0.061                    
 519       , 286       , 1        , 0.023                    
 44        , 293       , 1        , 0.009000000000000001     
 111       , 767       , 1        , 0.01                     
 634       , 697       , 1        , 0.056                    
 518       , 364       , 14       , 0.031                    
 692       , 23        , 1        , 0.004                    
 45        , 624       , 3        , 0.005                    
 393       , 200       , 1        , 0.017                    
 928       , 799       , 1        , 0.06899999999999999      
 471       , 216       , 3        , 0.017                    
 12        , 520       , 4        , 0.003                    
 908       , 476       , 4        , 0.04                     
 816       , 988       , 4        , 0.07100000000000001      
 708       , 75        , 3        , 0.008                    
 583       , 584       , 1        , 0.048                    
 937       , 367       , 1        , 0.030000000000000002     
 505       , 318       , 1        , 0.026                    
 853       , 429       , 1        , 0.034999999999999996     
 181       , 394       , 1        , 0.015000000000000001     
 316       , 972       , 4        , 0.025                    
 725       , 135       , 5        , 0.012                    
 742       , 97        , 1        , 0.009000000000000001     
 794       , 845       , 1        , 0.068                    
 675       , 399       , 3        , 0.033                    
 796       , 518       , 2        , 0.046                    
 443       , 639       , 1        , 0.036000000000000004     
 56        , 183       , 1        , 0.006                    
 488       , 129       , 1        , 0.011                    
 547       , 453       , 1        , 0.037                    
 839       , 430       , 1        , 0.034999999999999996     
 800       , 523       , 1        , 0.045000000000000005     
 595       , 681       , 1        , 0.051                    
 727       , 942       , 1        , 0.061                    
 989       , 189       , 1        , 0.016                    
 556       , 756       , 4        , 0.048                    
 453       , 782       , 1        , 0.037                    
 842       , 895       , 1        , 0.07200000000000001      
 367       , 983       , 1        , 0.030000000000000002     
 825       , 930       , 15       , 0.06999999999999999      
 346       , 125       , 1        , 0.011                    
 19        , 754       , 1        , 0.003                    
 293       , 406       , 1        , 0.023                    
 983       , 233       , 1        , 0.018000000000000002     
 22        , 375       , 1        , 0.004                    
 972       , 706       , 2        , 0.061                    
 835       , 648       , 1        , 0.055                    
 229       , 556       , 1        , 0.018000000000000002     
 489       , 431       , 1        , 0.036000000000000004     
 339       , 235       , 1        , 0.018000000000000002     
 788       , 668       , 4        , 0.058                    
 976       , 988       , 4        , 0.08399999999999999      
 206       , 547       , 1        , 0.016                    
 610       , 460       , 10       , 0.038                    
 554       , 933       , 1        , 0.046                    
 583       , 764       , 1        , 0.05                     
 124       , 247       , 1        , 0.011                    
 654       , 912       , 6        , 0.056                    
 262       , 680       , 2        , 0.020999999999999998     
 744       , 596       , 4        , 0.051                    
 831       , 478       , 1        , 0.039                    
 220       , 114       , 2        , 0.011                    
 113       , 66        , 1        , 0.006                    
 877       , 966       , 1        , 0.07200000000000001      
 659       , 459       , 1        , 0.039                    
 989       , 269       , 1        , 0.022                    
 403       , 48        , 1        , 0.005                    
 788       , 307       , 1        , 0.025                    
 260       , 598       , 26       , 0.020999999999999998     
 129       , 274       , 1        , 0.011                    
 770       , 906       , 2        , 0.068                    
 788       , 704       , 4        , 0.066                    
 117       , 314       , 1        , 0.012                    
 902       , 151       , 1        , 0.013                    
 653       , 587       , 1        , 0.056                    
 441       , 333       , 9        , 0.028                    
 936       , 644       , 4        , 0.056                    
 955       , 524       , 1        , 0.043000000000000003     
 708       , 290       , 2        , 0.023                    
 193       , 253       , 1        , 0.016                    
 43        , 712       , 1        , 0.005                    
 498       , 285       , 3        , 0.025                    
 943       , 740       , 1        , 0.066                    
 656       , 230       , 2        , 0.018000000000000002     
 390       , 966       , 6        , 0.032                    
 941       , 749       , 1        , 0.064                    
 732       , 631       , 1        , 0.055                    
 575       , 691       , 1        , 0.049                    
 1000      , 409       , 1        , 0.034999999999999996     
 514       , 477       , 1        , 0.121                    
 935       , 992       , 1        , 0.081                    
 476       , 538       , 2        , 0.057                    
 175       , 419       , 1        , 0.015000000000000001     
 937       , 326       , 1        , 0.033                    
 409       , 495       , 1        , 0.036000000000000004     
 449       , 138       , 1        , 0.012                    
 869       , 885       , 1        , 0.08                     
 70        , 984       , 2        , 0.009000000000000001     
 354       , 389       , 1        , 0.031                    
 863       , 477       , 1        , 0.043000000000000003     
 953       , 972       , 1        , 0.088                    
 887       , 421       , 1        , 0.038                    
 851       , 102       , 1        , 0.011                    
 157       , 545       , 1        , 0.013                    
 938       , 454       , 2        , 0.038                    
 881       , 874       , 1        , 0.074                    
 967       , 40        , 1        , 0.005                    
 802       , 835       , 1        , 0.06899999999999999      
 746       , 420       , 2        , 0.036000000000000004     
 348       , 115       , 1        , 0.01                     
 685       , 56        , 1        , 0.005                    
 548       , 438       , 2        , 0.034999999999999996     
 887       , 287       , 1        , 0.020999999999999998     
 846       , 247       , 1        , 0.019                    
 253       , 358       , 1        , 0.019                    
 933       , 288       , 3        , 0.022                    
 107       , 906       , 1        , 0.011                    
 986       , 841       , 29       , 0.074                    
 999       , 807       , 3        , 0.06999999999999999      
 907       , 352       , 1        , 0.028                    
 582       , 953       , 1        , 0.051                    
 789       , 138       , 3        , 0.013                    
 669       , 544       , 1        , 0.047                    
 970       , 113       , 1        , 0.011                    
 321       , 31        , 1        , 0.004                    
 977       , 413       , 1        , 0.034                    
 852       , 416       , 4        , 0.036000000000000004     
 297       , 793       , 1        , 0.024                    
 831       , 925       , 1        , 0.06999999999999999      
 104       , 337       , 1        , 0.011                    
 619       , 17        , 1        , 0.003                    
 387       , 705       , 3        , 0.032                    
 782       , 445       , 1        , 0.038                    
 623       , 195       , 1        , 0.016                    
 869       , 726       , 11       , 0.063                    
 702       , 225       , 9        , 0.019                    
 490       , 848       , 2        , 0.043000000000000003     
 554       , 273       , 1        , 0.023                    
 428       , 86        , 2        , 0.008                    
 675       , 478       , 1        , 0.041999999999999996     
 979       , 419       , 1        , 0.036000000000000004     
 381       , 735       , 3        , 0.032                    
 415       , 89        , 1        , 0.009000000000000001     
 733       , 518       , 1        , 0.044                    
 30        , 592       , 2        , 0.005                    
 764       , 527       , 1        , 0.047                    
 306       , 362       , 2        , 0.026                    
 497       , 950       , 1        , 0.041999999999999996     
 210       , 110       , 10       , 0.011                    
 845       , 1000      , 5        , 0.076                    
 275       , 399       , 1        , 0.023                    
 832       , 63        , 1        , 0.007                    
 836       , 375       , 1        , 0.033                    
 135       , 778       , 1        , 0.013                    
 578       , 138       , 2        , 0.013                    
 829       , 701       , 1        , 0.064                    
 773       , 671       , 1        , 0.057                    
 210       , 9         , 3        , 0.003                    
 341       , 497       , 1        , 0.027                    
 583       , 744       , 1        , 0.048                    
 353       , 642       , 1        , 0.028                    
 729       , 232       , 1        , 0.02                     
 352       , 439       , 1        , 0.031                    
 863       , 407       , 1        , 0.034999999999999996     
 765       , 555       , 15       , 0.051                    
 23        , 639       , 1        , 0.003                    
 94        , 810       , 2        , 0.009000000000000001     
 375       , 840       , 15       , 0.032                    
 755       , 87        , 1        , 0.008                    
 28        , 569       , 1        , 0.004                    
 852       , 858       , 6        , 0.076                    
 299       , 415       , 1        , 0.025                    
 295       , 646       , 1        , 0.025                    
 164       , 722       , 2        , 0.014                    
 771       , 247       , 1        , 0.02                     
 773       , 826       , 1        , 0.06999999999999999      
 202       , 640       , 2        , 0.017                    
